Market,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,Perth Mint Spot,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,London Fix,HSRA,Interest Rates,Interest Rates,Stock,Stock,CPI,CPIAUCSL_PC1,FEDFUNDS,Real US Short Term Interest Rates,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 95, 379.75 , 4.83 , 417.50 , 157.75 , 380.25 , 4.85 , 418.75 , 158.75 ,0.7594,0.7599, 75.50 , 75.60 , 100.40 , 100.60 , 514.79 , 6.54 , 565.49 , 213.17 , 515.82 , 6.57 , 567.57 , 214.67 ," 37,720.28 ", 472.03 ," 41,565.60 "," 15,813.00 "," 37,845.72 ", 474.96 ," 41,749.00 "," 15,945.10 ", 374.25 , 4.47 , 408.75 , 154.00 , 374.75 , 4.49 , 409.75 , 155.00 , 0.7360 , 0.7365 , 71.49 , 71.59 , 96.63 , 96.83 , 493.73 , 6.06 , 546.17 , 207.12 , 494.72 , 6.09 , 547.85 , 208.58 ," 36,467.79 ", 434.66 ," 39,868.40 "," 14,948.78 "," 36,572.21 ", 437.51 ," 40,047.84 "," 15,076.85 ", 376.60 , 4.71 , 413.89 , 156.71 , 377.09 , 4.73 , 414.96 , 157.72 , 0.7440 , 0.7445 , 73.23 , 73.33 , 98.35 , 98.55 , 505.87 , 6.33 , 555.96 , 210.50 , 506.87 , 6.36 , 557.77 , 211.99 ," 37,036.82 ", 463.56 ," 40,705.24 "," 15,412.69 "," 37,160.47 ", 466.47 ," 40,893.58 "," 15,543.13 ", 379.60 , 379.50 , 4.82 , 417.25 , 417.50 , 157.75 , 157.50 , 0.7605 , 6.1000 , 7.5000 , 374.80 , 374.50 , 4.49 , 408.75 , 409.00 , 154.25 , 154.25 , 0.7365 , 5.2500 , 7.4300 , 376.75 , 376.64 , 4.72 , 414.11 , 413.97 , 157.03 , 156.79 , 0.7456 ,5.915,7.482," 7,351.60 "," 1,920.00 ",,2.9,5.92,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mar 95, 386.25 , 5.19 , 434.50 , 175.50 , 386.75 , 5.21 , 435.50 , 176.50 ,0.7465,0.7470, 71.82 , 71.92 , 97.94 , 98.14 , 530.06 , 7.11 , 595.74 , 241.36 , 531.11 , 7.14 , 598.21 , 242.91 ," 36,668.74 ", 464.25 ," 39,706.19 "," 15,731.82 "," 36,792.69 ", 467.08 ," 39,927.85 "," 15,856.76 ", 374.20 , 4.35 , 402.00 , 152.00 , 374.70 , 4.37 , 403.50 , 153.00 , 0.7225 , 0.7230 , 63.85 , 63.95 , 87.88 , 88.07 , 508.15 , 5.92 , 547.11 , 205.68 , 509.17 , 5.95 , 548.84 , 207.18 ," 33,556.98 ", 406.19 ," 36,381.30 "," 14,020.16 "," 33,673.56 ", 408.88 ," 36,552.18 "," 14,142.20 ", 381.46 , 4.63 , 415.94 , 161.64 , 381.96 , 4.65 , 417.02 , 162.65 , 0.7350 , 0.7356 , 67.15 , 67.25 , 91.28 , 91.49 , 518.65 , 6.29 , 565.53 , 219.84 , 519.71 , 6.32 , 567.42 , 221.38 ," 34,813.50 ", 422.07 ," 37,955.13 "," 14,736.54 "," 34,935.65 ", 424.83 ," 38,138.20 "," 14,861.72 ", 386.60 , 392.00 , 5.16 , 431.60 , 434.35 , 175.85 , 176.00 , 0.7467 , 6.3000 , 7.5200 , 374.45 , 374.75 , 4.42 , 404.00 , 403.60 , 152.00 , 152.50 , 0.7226 , 5.5600 , 7.4700 , 381.82 , 382.12 , 4.65 , 416.50 , 416.90 , 162.59 , 162.80 , 0.7351 ,5.977,7.493," 7,356.30 "," 1,906.60 ",114.7,2.8,5.98,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apr 95, 396.00 , 6.04 , 460.25 , 175.00 , 396.50 , 6.06 , 461.25 , 176.00 ,0.7455,0.7460, 65.55 , 65.65 , 89.34 , 89.54 , 539.11 , 8.16 , 621.71 , 236.77 , 540.18 , 8.19 , 624.15 , 238.32 ," 34,985.54 ", 497.03 ," 39,607.11 "," 15,452.94 "," 35,108.63 ", 499.83 ," 39,871.89 "," 15,585.50 ", 386.00 , 5.24 , 438.00 , 160.00 , 386.50 , 5.26 , 439.50 , 161.00 , 0.7243 , 0.7248 , 59.02 , 59.15 , 81.13 , 81.34 , 523.79 , 7.09 , 596.00 , 220.32 , 524.89 , 7.12 , 598.45 , 221.85 ," 31,579.85 ", 441.63 ," 35,676.92 "," 13,224.19 "," 31,710.06 ", 444.31 ," 35,859.42 "," 13,343.04 ", 391.00 , 5.52 , 447.70 , 169.64 , 391.54 , 5.55 , 449.03 , 170.81 , 0.7354 , 0.7360 , 62.06 , 62.22 , 84.31 , 84.60 , 531.25 , 7.50 , 608.25 , 230.45 , 532.42 , 7.55 , 610.56 , 232.23 ," 32,966.59 ", 464.73 ," 37,744.91 "," 14,307.71 "," 33,125.64 ", 469.43 ," 37,988.16 "," 14,456.10 ", 396.95 , 395.55 , 5.92 , 461.25 , 459.00 , 176.25 , 178.25 , 0.7458 , 6.3000 , 7.5700 , 386.60 , 386.35 , 5.21 , 438.75 , 438.25 , 160.25 , 159.25 , 0.7263 , 5.9100 , 7.4700 , 391.34 , 391.03 , 5.50 , 449.05 , 448.51 , 170.20 , 169.36 , 0.7362 ,6.047,7.507," 7,929.10 "," 2,050.20 ",,3.1,6.05,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
May 95, 391.05 , 6.09 , 458.50 , 163.75 , 391.55 , 6.11 , 460.00 , 164.75 ,0.7437,0.7442, 64.22 , 64.32 , 87.17 , 87.37 , 538.30 , 8.22 , 622.96 , 227.56 , 539.37 , 8.25 , 625.42 , 229.11 ," 33,447.65 ", 508.27 ," 38,266.41 "," 14,076.34 "," 33,568.08 ", 511.16 ," 38,441.77 "," 14,196.00 ", 381.70 , 5.28 , 426.50 , 156.00 , 382.20 , 5.30 , 427.50 , 157.00 , 0.7140 , 0.7145 , 59.20 , 59.30 , 82.15 , 82.35 , 517.55 , 7.18 , 579.26 , 213.65 , 518.58 , 7.22 , 581.16 , 215.14 ," 31,742.76 ", 438.24 ," 35,940.63 "," 13,199.88 "," 31,861.22 ", 440.91 ," 36,118.05 "," 13,313.47 ", 385.59 , 5.58 , 437.57 , 160.49 , 386.09 , 5.60 , 438.68 , 161.55 , 0.7283 , 0.7288 , 61.74 , 61.84 , 84.72 , 84.92 , 529.10 , 7.65 , 600.38 , 220.24 , 530.16 , 7.68 , 602.34 , 221.84 ," 32,663.57 ", 472.06 ," 37,060.23 "," 13,595.32 "," 32,783.68 ", 474.89 ," 37,242.70 "," 13,717.18 ", 391.35 , 391.00 , 6.04 , 459.00 , 459.50 , 164.25 , 164.00 , 0.7414 , 6.1700 , 7.5300 , 381.85 , 381.55 , 5.28 , 427.35 , 424.75 , 157.25 , 157.05 , 0.7164 , 5.9400 , 7.4700 , 385.23 , 385.22 , 5.54 , 437.39 , 436.44 , 160.68 , 160.30 , 0.7275 ,6.009,7.499," 7,834.70 "," 2,019.50 ",,3.1,6.01,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jun 95, 391.05 , 5.49 , 443.50 , 162.00 , 391.55 , 5.51 , 444.50 , 163.00 ,0.7288,0.7293, 61.47 , 61.57 , 85.77 , 85.83 , 544.70 , 7.58 , 618.88 , 224.55 , 545.79 , 7.61 , 620.72 , 226.10 ," 33,171.55 ", 464.62 ," 37,610.15 "," 13,682.52 "," 33,237.67 ", 467.36 ," 37,722.29 "," 13,799.58 ", 383.25 , 5.22 , 429.70 , 155.75 , 383.65 , 5.24 , 430.70 , 156.75 , 0.7109 , 0.7114 , 59.51 , 59.61 , 82.89 , 83.09 , 533.68 , 7.30 , 597.64 , 215.42 , 534.74 , 7.34 , 600.11 , 216.96 ," 31,813.18 ", 434.72 ," 35,716.66 "," 12,945.94 "," 31,931.49 ", 437.43 ," 35,885.92 "," 13,060.41 ", 387.45 , 5.36 , 437.65 , 158.38 , 387.95 , 5.38 , 438.68 , 159.44 , 0.7201 , 0.7206 , 60.70 , 60.80 , 84.24 , 84.44 , 537.70 , 7.43 , 607.36 , 219.80 , 538.76 , 7.47 , 609.21 , 221.42 ," 32,640.27 ", 451.11 ," 36,869.37 "," 13,342.20 "," 32,756.75 ", 453.83 ," 37,041.21 "," 13,462.67 ", 391.30 , 391.30 , 5.51 , 442.75 , 443.50 , 161.25 , 160.75 , 0.7273 , 6.1500 , 7.6000 , 383.20 , 383.25 , 5.23 , 431.50 , 430.25 , 156.00 , 156.25 , 0.7146 , 5.7700 , 7.4900 , 387.62 , 387.56 , 5.36 , 438.37 , 438.55 , 158.68 , 158.45 , 0.7201 ,6.001,7.507," 7,872.50 "," 2,017.00 ",116.2,3.0,6.00,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jul 95, 389.40 , 5.35 , 442.00 , 158.50 , 389.90 , 5.37 , 443.00 , 159.50 ,0.7391,0.7396, 65.29 , 65.42 , 89.10 , 89.33 , 542.16 , 7.30 , 613.92 , 223.33 , 543.25 , 7.33 , 615.76 , 224.90 ," 34,695.54 ", 476.69 ," 39,204.00 "," 13,765.95 "," 34,829.77 ", 479.70 ," 39,439.20 "," 13,890.82 ", 383.00 , 5.04 , 425.00 , 152.00 , 383.50 , 5.06 , 426.00 , 153.00 , 0.7087 , 0.7092 , 59.99 , 60.09 , 84.18 , 84.38 , 517.85 , 6.87 , 574.63 , 206.30 , 518.87 , 6.90 , 577.05 , 207.80 ," 32,447.18 ", 427.82 ," 36,572.00 "," 13,230.36 "," 32,566.46 ", 430.53 ," 36,743.27 "," 13,346.57 ", 385.77 , 5.15 , 433.02 , 155.36 , 386.26 , 5.17 , 434.14 , 156.39 , 0.7258 , 0.7263 , 63.12 , 63.22 , 86.88 , 87.08 , 531.26 , 7.10 , 596.37 , 214.00 , 532.30 , 7.13 , 598.32 , 215.56 ," 33,516.75 ", 447.74 ," 37,619.98 "," 13,495.50 "," 33,637.82 ", 450.53 ," 37,805.28 "," 13,616.51 ", 389.30 , 390.45 , 5.36 , 440.25 , 442.75 , 158.10 , 159.00 , 0.7391 , 7.4100 , 7.6000 , 383.20 , 383.00 , 5.07 , 425.75 , 425.15 , 152.50 , 151.75 , 0.7087 , 5.6700 , 7.4800 , 386.14 , 386.23 , 5.16 , 433.55 , 433.63 , 155.30 , 155.41 , 0.7263 ,5.852,7.513," 8,259.30 "," 2,116.10 ",,2.8,5.85,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aug 95, 385.75 , 5.80 , 432.50 , 152.50 , 386.25 , 5.82 , 434.00 , 153.50 ,0.7585,0.7590, 74.38 , 74.48 , 98.63 , 98.83 , 524.34 , 7.86 , 586.20 , 206.33 , 525.38 , 7.89 , 587.96 , 207.83 ," 37,642.55 ", 564.51 ," 42,095.23 "," 14,782.90 "," 37,768.50 ", 567.62 ," 42,279.26 "," 14,911.20 ", 381.25 , 5.04 , 416.50 , 146.00 , 381.75 , 5.06 , 417.50 , 147.00 , 0.7324 , 0.7329 , 65.25 , 65.35 , 87.99 , 88.18 , 502.31 , 6.82 , 561.32 , 192.36 , 503.30 , 6.85 , 563.05 , 193.80 ," 33,686.97 ", 444.93 ," 36,955.80 "," 13,418.48 "," 33,803.80 ", 447.71 ," 37,123.78 "," 13,535.63 ", 383.52 , 5.40 , 424.86 , 150.09 , 384.01 , 5.42 , 425.89 , 151.09 , 0.7410 , 0.7415 , 69.86 , 69.96 , 94.22 , 94.42 , 517.23 , 7.29 , 572.97 , 202.42 , 518.25 , 7.32 , 574.75 , 203.91 ," 36,134.29 ", 509.60 ," 40,040.09 "," 14,137.10 "," 36,257.50 ", 512.56 ," 40,221.70 "," 14,261.29 ", 385.55 , 386.35 , 5.80 , 434.50 , 433.85 , 152.00 , 152.50 , 0.7579 , 6.2100 , 7.5900 , 381.65 , 381.65 , 5.03 , 415.50 , 415.50 , 145.50 , 145.25 , 0.7331 , 5.4800 , 7.4900 , 383.50 , 383.65 , 5.39 , 424.58 , 425.05 , 149.57 , 149.73 , 0.7415 ,5.735,7.513," 8,337.30 "," 2,133.00 ",,2.6,5.74,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sep 95, 385.50 , 5.55 , 441.50 , 148.00 , 386.00 , 5.57 , 442.50 , 149.00 ,0.7645,0.7651, 79.46 , 79.56 , 104.99 , 105.20 , 513.52 , 7.36 , 581.04 , 194.95 , 514.53 , 7.39 , 582.75 , 196.42 ," 40,394.90 ", 575.35 ," 45,879.66 "," 15,328.54 "," 40,528.30 ", 578.60 ," 46,077.60 "," 15,464.40 ", 379.50 , 5.23 , 420.00 , 135.00 , 380.00 , 5.25 , 421.00 , 136.00 , 0.7460 , 0.7465 , 72.85 , 72.95 , 96.84 , 97.03 , 502.42 , 6.96 , 557.32 , 179.66 , 503.40 , 6.99 , 559.02 , 181.12 ," 36,857.30 ", 509.93 ," 41,495.94 "," 13,558.05 "," 36,978.13 ", 512.93 ," 41,674.39 "," 13,685.68 ", 382.80 , 5.43 , 430.46 , 143.59 , 383.30 , 5.45 , 431.52 , 144.59 , 0.7537 , 0.7543 , 75.57 , 75.66 , 100.18 , 100.38 , 507.54 , 7.20 , 570.71 , 190.36 , 508.55 , 7.23 , 572.51 , 191.83 ," 38,352.26 ", 543.80 ," 43,131.54 "," 14,383.55 "," 38,477.89 ", 546.84 ," 43,322.61 "," 14,512.96 ", 385.65 , 385.40 , 5.56 , 440.85 , 439.60 , 147.25 , 147.00 , 0.7645 , 6.4500 , 7.5200 , 379.00 , 379.40 , 5.21 , 420.25 , 419.90 , 135.35 , 135.75 , 0.7472 , 5.6500 , 7.4500 , 382.93 , 383.05 , 5.43 , 430.01 , 429.60 , 143.60 , 143.33 , 0.7538 ,5.805,7.493," 8,399.30 "," 2,135.70 ",117.6,2.5,5.80,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oct 95, 385.00 , 5.47 , 417.50 , 140.00 , 385.50 , 5.49 , 418.50 , 141.00 ,0.7684,0.7689, 77.92 , 78.06 , 102.46 , 102.66 , 512.47 , 7.22 , 550.94 , 182.36 , 513.48 , 7.25 , 553.32 , 184.96 ," 39,160.21 ", 550.50 ," 42,029.81 "," 14,204.40 "," 39,287.98 ", 553.94 ," 42,311.36 "," 14,341.11 ", 381.80 , 5.26 , 405.00 , 134.00 , 382.30 , 5.28 , 406.00 , 135.00 , 0.7455 , 0.7460 , 74.43 , 74.43 , 99.08 , 99.28 , 496.94 , 6.84 , 533.25 , 175.05 , 497.92 , 6.87 , 534.91 , 176.47 ," 37,893.15 ", 530.04 ," 40,721.88 "," 13,301.49 "," 38,019.28 ", 533.13 ," 40,953.00 "," 13,454.67 ", 383.06 , 5.36 , 411.69 , 136.42 , 383.56 , 5.38 , 412.79 , 137.65 , 0.7575 , 0.7581 , 76.21 , 76.32 , 100.53 , 100.74 , 505.33 , 7.07 , 543.10 , 179.96 , 506.34 , 7.11 , 544.92 , 181.70 ," 38,507.50 ", 538.99 ," 41,384.90 "," 13,714.28 "," 38,639.02 ", 542.16 ," 41,583.02 "," 13,866.35 ", 384.70 , 385.10 , 5.44 , 420.25 , 420.75 , 142.35 , 141.50 , 0.7689 , 6.2000 , 7.5500 , 381.85 , 381.75 , 5.32 , 406.50 , 406.25 , 134.00 , 134.00 , 0.7466 , 5.6500 , 7.4400 , 383.20 , 383.14 , 5.37 , 412.94 , 412.66 , 137.10 , 136.67 , 0.7580 ,5.756,7.483," 8,202.80 "," 2,073.70 ",,2.7,5.76,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nov 95, 389.00 , 5.44 , 422.00 , 138.50 , 389.50 , 5.46 , 423.50 , 139.50 ,0.7602,0.7607, 78.81 , 78.91 , 104.01 , 104.21 , 526.62 , 7.36 , 571.58 , 184.21 , 527.65 , 7.39 , 573.33 , 185.69 ," 40,225.46 ", 562.55 ," 43,608.00 "," 14,121.46 "," 40,358.95 ", 565.77 ," 43,800.17 "," 14,251.32 ", 382.00 , 5.17 , 405.70 , 132.50 , 382.50 , 5.19 , 406.70 , 133.50 , 0.7355 , 0.7360 , 74.11 , 74.21 , 100.22 , 100.42 , 502.43 , 6.90 , 536.35 , 176.13 , 503.42 , 6.93 , 538.02 , 177.58 ," 38,494.14 ", 521.99 ," 41,461.65 "," 13,381.13 "," 38,621.03 ", 525.04 ," 41,644.82 "," 13,508.54 ", 384.85 , 5.31 , 413.23 , 134.23 , 385.34 , 5.33 , 414.42 , 135.50 , 0.7453 , 0.7458 , 75.88 , 75.99 , 101.74 , 101.95 , 516.11 , 7.11 , 554.19 , 180.00 , 517.13 , 7.15 , 556.17 , 181.83 ," 39,153.15 ", 539.61 ," 42,039.50 "," 13,656.82 "," 39,285.68 ", 542.78 ," 42,249.25 "," 13,814.35 ", 389.60 , 389.40 , 5.43 , 422.25 , 423.00 , 137.50 , 136.25 , 0.7604 , 6.3100 , 7.5500 , 382.20 , 381.95 , 5.18 , 404.85 , 405.50 , 132.40 , 132.15 , 0.7349 , 5.6500 , 7.4800 , 385.21 , 385.31 , 5.32 , 413.37 , 413.08 , 134.47 , 134.12 , 0.7461 ,5.803,7.500," 8,566.10 "," 2,158.80 ",,2.6,5.80,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dec 95, 389.50 , 5.25 , 416.50 , 135.50 , 390.00 , 5.27 , 417.50 , 136.50 ,0.7471,0.7476, 76.74 , 76.84 , 102.82 , 103.02 , 528.85 , 7.10 , 565.59 , 184.00 , 529.76 , 7.13 , 567.33 , 185.49 ," 39,756.57 ", 535.63 ," 42,313.67 "," 13,699.05 "," 40,002.30 ", 538.73 ," 42,498.79 "," 13,827.45 ", 385.90 , 5.12 , 399.50 , 127.50 , 386.40 , 5.14 , 400.50 , 128.50 , 0.7359 , 0.7364 , 74.45 , 74.55 , 100.80 , 101.00 , 517.12 , 6.87 , 535.52 , 170.91 , 518.14 , 6.90 , 537.89 , 172.37 ," 39,003.39 ", 519.52 ," 40,892.82 "," 13,050.90 "," 39,131.27 ", 522.57 ," 41,126.56 "," 13,178.96 ", 387.29 , 5.18 , 409.03 , 131.43 , 387.79 , 5.20 , 410.13 , 132.57 , 0.7406 , 0.7411 , 75.39 , 75.52 , 101.72 , 101.97 , 522.58 , 6.99 , 551.92 , 177.35 , 523.61 , 7.02 , 553.78 , 179.00 ," 39,393.55 ", 527.03 ," 41,603.33 "," 13,368.11 "," 39,543.48 ", 530.40 ," 41,820.48 "," 13,517.44 ", 389.70 , 389.60 , 5.26 , 417.00 , 416.60 , 136.00 , 136.00 , 0.7474 , 6.7400 , 7.5500 , 385.70 , 385.70 , 5.11 , 398.25 , 402.50 , 127.50 , 128.25 , 0.7364 , 4.7300 , 7.4900 , 387.44 , 387.44 , 5.18 , 409.81 , 409.98 , 131.77 , 131.73 , 0.7409 ,5.602,7.506," 8,783.10 "," 2,203.00 ",118.5,2.5,5.60,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan 96, 407.35 , 5.58 , 424.00 , 132.00 , 407.85 , 5.60 , 425.00 , 133.00 ,0.7475,0.7480, 79.90 , 80.00 , 107.32 , 107.53 , 551.29 , 7.61 , 579.00 , 177.52 , 552.27 , 7.64 , 580.76 , 179.05 ," 43,492.76 ", 594.71 ," 45,137.02 "," 13,869.31 "," 43,623.64 ", 597.91 ," 45,324.30 "," 14,002.60 ", 387.00 , 5.17 , 399.50 , 127.00 , 387.50 , 5.19 , 400.50 , 128.00 , 0.7318 , 0.7323 , 76.81 , 76.95 , 103.17 , 103.43 , 519.81 , 6.94 , 536.60 , 170.36 , 520.83 , 6.98 , 538.31 , 171.81 ," 39,926.79 ", 533.39 ," 41,216.42 "," 13,154.18 "," 40,079.13 ", 536.80 ," 41,423.72 "," 13,290.76 ", 398.58 , 5.47 , 416.03 , 129.33 , 399.08 , 5.49 , 417.23 , 130.41 , 0.7415 , 0.7420 , 78.11 , 78.22 , 105.27 , 105.49 , 537.19 , 7.38 , 560.71 , 174.30 , 538.22 , 7.41 , 562.70 , 175.86 ," 41,964.00 ", 576.22 ," 43,800.33 "," 13,614.42 "," 42,102.06 ", 579.53 ," 44,016.56 "," 13,755.55 ", 407.40 , 406.60 , 5.62 , 423.50 , 423.00 , 133.00 , 133.00 , 0.7482 , 6.9300 , 7.5200 , 387.10 , 389.15 , 5.17 , 400.75 , 400.00 , 127.25 , 126.75 , 0.7342 , 4.7300 , 7.4800 , 398.70 , 399.45 , 5.48 , 416.10 , 416.27 , 129.65 , 129.58 , 0.7417 ,5.565,7.500," 9,128.70 "," 2,288.50 ",,2.8,5.56,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Feb 96, 417.00 , 5.84 , 432.00 , 143.00 , 418.00 , 5.86 , 434.00 , 144.00 ,0.7632,0.7637, 81.43 , 81.53 , 107.83 , 108.03 , 556.74 , 7.80 , 576.77 , 189.48 , 558.45 , 7.83 , 579.83 , 191.31 ," 44,435.52 ", 622.31 ," 46,033.92 "," 15,169.44 "," 44,625.68 ", 625.61 ," 46,333.84 "," 15,304.32 ", 397.45 , 5.45 , 406.75 , 128.00 , 397.95 , 5.47 , 407.75 , 129.00 , 0.7457 , 0.7462 , 78.33 , 78.43 , 103.49 , 103.69 , 523.16 , 7.17 , 535.62 , 171.54 , 524.17 , 7.20 , 537.29 , 172.99 ," 41,419.50 ", 567.89 ," 42,403.69 "," 13,667.84 "," 41,551.20 ", 571.07 ," 42,589.49 "," 13,801.71 ", 404.77 , 5.64 , 419.82 , 139.03 , 405.27 , 5.66 , 420.92 , 140.16 , 0.7552 , 0.7557 , 79.80 , 79.90 , 105.60 , 105.81 , 535.64 , 7.47 , 555.57 , 183.97 , 536.70 , 7.50 , 557.43 , 185.61 ," 42,744.54 ", 595.73 ," 44,334.87 "," 14,680.30 "," 42,882.05 ", 599.03 ," 44,538.90 "," 14,829.03 ", 416.25 , 414.80 , 5.83 , 433.00 , 431.50 , 142.22 , 143.75 , 0.7630 , 6.1800 , 7.5400 , 397.70 , 396.80 , 5.46 , 408.00 , 408.00 , 128.50 , 130.00 , 0.7453 , 4.9200 , 7.4800 , 404.92 , 404.76 , 5.65 , 420.57 , 420.18 , 139.25 , 139.43 , 0.7551 ,5.225,7.503," 9,164.10 "," 2,290.00 ",,2.7,5.22,0.03,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
